RED1,IR1
45,42
51,68
42,40
41,1
30,22
53,41
48,40
47,6
46,12
49,16
48,19
47,33
45,94
39,39
49,43
38,98
56,5
43,42
44,41
46,48
40,37
36,92
47,11
51,66
52,8
54,39
43,43
51,99
59,34
46,0
46,37
50,48
43,73
43,41
43,35
32,16
49,62
38,3
55,53
41,112
47,0
55,48
45,59
50,25
38,89
42,17
48,47
43,33
48,31
43,11
40,69
46,3
42,43
50,15
38,37
38,42
52,20
44,40
56,23
55,12
51,37
47,101
38,3
47,15
49,80
44,17
44,32
43,65
46,52
38,37
51,56
38,40
47,29
51,53
45,27
40,99
49,34
44,73
40,27
52,68
38,14
46,96
52,1
48,24
40,82
49,16
56,64
56,3
46,42
46,60
41,37
58,49
41,88
48,28
39,11
46,32
50,43
47,58
40,20
36,101
43,10
46,27
37,15
40,86
21,14
44,39
53,16
44,68
50,7
42,48
33,61
44,37
42,96
51,32
37,58
48,63
37,10
52,22
55,6
40,31
59,78
49,22
42,57
48,39
39,68
40,6
47,83
46,7
50,65
38,37
48,33
50,30
41,23
44,36
57,78
52,58
39,73
47,46
32,58
41,76
48,13
45,31
42,87
44,28
42,29
51,77
46,13
43,29
46,89
52,24
42,101
49,29
50,92
32,4
27,41
35,31
42,16
49,54
47,19
53,100
50,15
45,46
38,24
42,39
48,41
42,23
45,97
42,0
50,64
43,58
37,56
51,40
48,88
33,25
37,56
51,44
38,38
59,71
51,20
50,44
35,38
46,94
39,13
58,68
48,22
47,44
53,8
48,80
46,53
50,29
53,21
49,74
50,19
47,57
47,3
39,52
45,14
44,40
37,84
34,7
39,59
34,36
45,6
34,79
24,99
56,26
40,63
47,72
54,0
49,21
52,65
41,23
55,37
43,4
48,22
49,95
48,13
39,70
49,46
64,63
53,10
42,45
40,89
49,11
43,52
39,90
54,33
52,79
44,18
51,46
36,91
53,23
47,65
50,48
38,33
50,117
49,15
47,58
48,75
53,92
42,5
35,30
51,44
50,16
46,80
48,3
31,89
42,5
40,52
38,26
62,73
48,18
50,78
41,28
48,56
47,59
48,76
53,24
56,85
52,12
48,39
42,23
45,51
41,32
40,54
44,18
51,10
42,37
49,29
39,43
50,81
45,84
52,32
48,81
49,95
32,2
52,97
53,0
43,8
71,9
48,58
40,80
48,9
56,47
50,5
46,48
46,31
51,86
46,19
52,37
60,39
47,78
38,1
40,29
48,30
42,22
56,16
44,36
43,47
50,40
47,79
42,15
36,80
45,19
45,0
29,22
46,39
43,48
51,34
50,87
38,38
51,21
40,68
47,66
49,18
46,28
43,42
39,106
53,25
58,25
43,100
46,13
42,51
44,17
45,81
52,2
51,90
48,34
54,74
55,23
42,87
42,31
46,83
55,8
48,76
44,27
50,58
43,15
44,58
54,49
40,4
36,12
45,33
55,72
41,29
50,45
57,30
43,69
47,34
47,15
44,30
51,67
42,78
39,5
41,86
50,6
45,62
51,16
42,74
63,5
37,55
49,64
48,24
50,27
56,79
55,24
45,19
46,50
49,75
49,56
50,26
44,9
40,21
31,80
45,36
34,97
51,41
29,40
45,30
57,99
43,42
54,92
43,2
44,40
36,30
49,15
41,40
49,41
55,85
53,30
50,91
53,31
47,90
52,17
53,58
58,86
48,36
33,33
56,44
38,3
48,47
39,68
42,21
49,39
15,28
54,20
43,9
43,58
48,17
51,68
45,37
50,29
50,21
51,41
46,39
50,45
55,77
54,8
41,17
32,31
48,88
46,21
47,56
51,56
51,41
57,11
40,87
54,23
53,71
53,27
37,44
45,17
49,68
50,7
52,0
51,32
47,35
48,24
57,66
44,11
58,40
37,31
49,72
43,16
42,45
54,38
44,30
50,74
53,10
45,57
36,24
48,56
47,6
48,55
40,40
53,87
57,82
40,16
57,73
55,8
41,37
49,49
45,40
43,26
54,100
51,17
38,43
40,47
52,12
48,36
44,93
46,72
45,39
55,37
56,108
41,1
47,61
52,63
45,94
51,3
47,52
44,14
48,72
42,36
39,76
47,20
43,80
44,35
47,19
53,39
53,85
54,49
42,0
45,23
57,85
40,11
42,52
45,0
50,38
44,79
47,31
42,56
42,15
41,82
70,78
48,3
49,57
46,26
51,21
49,87
52,2
46,43
50,83
47,16
45,91
52,34
38,58
46,32
42,45
43,93
38,14
51,46
41,8
45,46
49,29
38,87
42,49
37,26
39,27
53,84
37,42
41,17
46,94
48,19
45,63
40,48
43,15
54,100
45,0
50,35
47,48
51,34
49,6
42,36
34,85
48,72
48,12
40,44
33,13
42,38
48,83
61,48
57,31
50,88
32,82
50,28
44,28
44,99
44,10
42,43
41,56
47,8
41,74
43,18
43,48
54,39
41,97
48,12
51,75
54,58
49,27
48,40
47,20
43,31
44,25
57,83
60,0
39,37
37,102
31,22
51,46
56,30
49,45
57,49
40,16
48,45
38,49
47,44
41,95
39,32
44,27
56,27
58,78
41,32
42,24
45,94
34,18
41,27
52,20
42,66
53,20
46,48
68,35
54,96
3,43
41,12
44,28
51,78
43,24
44,23
45,37
33,101
39,5
52,48
36,47
32,4
40,39
41,89
51,64
40,67
51,79
37,2
39,42
42,26
46,44
40,74
63,34
45,64
44,38
48,86
40,10
40,42
49,68
43,6
49,80
45,16
40,32
45,87
34,3
41,31
55,43
46,14
56,42
54,53
43,69
48,5
56,63
44,13
46,16
41,41
43,84
47,62
41,10
39,47
36,69
42,52
44,43
44,100
32,13
50,27
46,17
46,31
46,43
46,53
50,25
54,44
58,64
52,0
41,47
46,70
47,82
50,0
40,36
49,33
48,29
56,39
46,24
48,25
50,78
36,4
50,70
48,29
46,61
45,0
48,81
40,47
40,21
38,89
55,4
44,29
50,80
41,30
37,98
54,0
44,68
49,31
45,41
42,8
51,58
43,100
55,30
49,57
49,5
39,60
22,54
48,41
30,12
42,50
51,4
61,34
41,58
49,0
41,47
50,19
39,50
44,59
57,37
47,23
44,49
39,62
49,47
44,66
49,76
48,40
40,78
45,2
46,76
38,4
46,24
41,35
47,91
46,18
60,74
49,64
48,45
56,99
53,31
47,106
56,18
45,63
37,15
36,42
52,23
47,95
50,85
42,16
47,42
47,52
49,47
45,26
42,41
41,41
33,31
42,42
38,4
41,32
36,90
50,25
54,82
37,10
49,40
40,38
34,101
40,26
39,35
38,74
40,95
47,4
45,35
49,66
46,2
49,97
49,28
44,94
40,18
55,37
46,38
43,13
46,80
48,1
33,47
55,29
46,85
52,47
53,40
51,102
49,21
42,61
48,58
52,3
37,27
49,72
38,41
62,100
52,2
43,47
47,8
43,97
37,3
49,85
50,5
40,50
44,31
44,95
92,72
56,21
52,47
46,28
47,91
43,2
43,51
46,79
45,15
50,66
39,3
38,34
43,63
54,21
33,44
40,100
40,13
49,90
46,35
36,33
41,81
36,44
43,16
40,19
53,21
46,34
43,10
43,94
42,30
47,54
45,25
54,72
46,45
46,95
50,17
49,33
48,31
49,32
46,47
44,22
47,55
39,23
43,64
36,14
29,76
40,25
49,62
46,33
37,74
49,74
53,23
61,39
45,88
49,23
47,56
38,56
47,63
39,27
52,7
55,59
44,6
38,53
40,30
42,16
47,75
47,4
50,57
37,3
62,34
51,52
48,54
51,43
41,80
51,7
41,89
41,33
41,25
55,45
38,49
40,61
42,0
42,36
43,41
54,71
42,37
52,66
43,26
42,32
53,29
49,5
43,64
34,24
47,87
32,3
47,58
51,30
37,67
55,32
49,70
38,15
96,44
45,13
61,77
62,23
53,63
51,17
40,32
47,14
42,27
35,42
43,91
45,17
41,88
46,10
45,35
46,96
47,17
37,73
40,88
47,9
41,42
51,79
43,31
50,48
47,74
36,1
50,27
40,39
49,35
55,22
51,75
41,21
42,24
48,32
31,87
43,52
40,61
39,34
42,34
52,38
44,71
36,19
48,76
55,0
50,50
51,2
54,52
52,68
44,33
55,15
43,19
46,77
51,14
40,100
44,67
49,51
43,86
62,2
56,39
42,18
53,33
50,35
44,77
46,3
45,52
47,61
49,19
51,42
49,103
32,48
46,42
37,79
42,8
43,37
46,5
50,15
41,24
47,84
53,0
54,31
48,45
48,14
44,59
50,8
41,37
38,1
56,39
51,71
48,31
44,92
48,15
43,81
42,39
51,22
63,22
53,6
36,35
41,52
49,39
52,46
43,17
47,21
51,27
45,87
53,41
40,100
44,14
63,87
43,38
47,27
40,95
41,9
40,81
45,6
53,51
51,16
42,43
46,1
48,32
42,52
33,78
48,30
44,68
42,41
41,43
45,12
46,33
42,15
42,84
45,24
54,24
42,32
45,77
50,19
46,45
57,31
55,12
43,57
41,33
44,93
50,37
53,101
48,46
40,9
38,67
52,4
51,69
46,59
36,29
53,27
23,56
43,14
43,44
40,60
47,44
51,90
47,21
41,26
50,108
47,6
37,47
48,88
46,18
51,72
39,44
48,34
48,60
47,18
45,36
40,39
43,15
54,68
48,2
46,40
58,70
43,9
45,46
52,8
45,32
52,28
44,32
55,55
42,57
57,62
45,9
54,83
38,2
56,57
51,51
51,27
39,96
54,7
40,58
40,66
43,74
31,34
40,78
51,25
47,23
51,28
27,15
35,45
44,57
50,51
40,47
52,39
49,44
39,44
47,46
55,48
52,21
56,55
44,21
48,31
48,45
50,34
41,19
46,79
43,3
45,58
52,88
51,11
44,62
57,8
55,60
55,26
43,27
50,13
59,33
36,110
37,23
39,77
42,37
41,43
50,22
46,58
43,19
38,75
51,12
55,73
45,87
40,27
42,51
47,1
47,50
33,42
45,69
47,77
49,95
52,9
16,79
50,11
53,55
41,19
45,26
44,81
47,19
45,65
51,68
66,8
53,22
40,22
56,34
43,13
55,88
45,21
46,72
42,28
39,83
43,45
56,65
41,19
45,44
39,69
48,14
64,95
34,16
47,43
40,96
49,13
46,67
49,42
42,78
42,16
46,27
46,73
36,54
45,23
48,35
49,18
54,57
51,16
45,63
45,66
37,76
50,20
49,75
32,64
49,105
54,8
72,100
41,25
36,59
52,33
51,95
58,24
53,70
45,1
53,41
38,27
53,23
53,35
55,26
50,58
38,24
56,18
38,96
45,0
43,32
49,75
49,1
40,92
56,7
46,39
56,38
39,20
48,82
43,3
49,58
52,40
48,28
43,32
55,103
37,3
36,105
45,17
47,93
58,85
49,1
40,63
45,59
41,63
37,5
39,45
44,82
56,12
55,56
47,49
49,63
43,35
45,28
56,49
55,87
52,4
49,86
40,10
42,53
40,37
50,62
48,91
44,0
43,62
54,83
48,28
43,28
45,40
44,88
43,43
51,49
45,44
47,23
45,20
40,50
50,7
52,36
40,56
51,10
48,17
43,33
47,57
53,60
41,79
38,30
46,69
46,38
56,19
44,40
47,28
41,43
46,16
58,64
39,15
40,45
50,68
55,9
41,90
43,4
48,38
60,1
51,41
54,76
46,10
46,15
56,42
53,44
51,16
48,28
36,87
49,16
42,46
40,50
43,4
42,65
43,36
48,48
38,7
45,30
32,54
54,15
41,25
45,75
64,21
43,47
45,102
42,7
38,85
42,45
40,28
35,90
36,47
45,37
54,12
37,25
37,44
37,4
47,42
40,35
53,60
43,10
52,104
49,37
43,57
54,26
43,76
56,51
45,31
52,36
46,61
46,37
44,85
93,10
38,43
45,3
59,28
51,50
32,63
41,68
40,0
40,76
46,37
41,105
46,20
37,88
42,1
45,72
52,47
47,35
51,52
55,85
54,54
47,36
43,52
57,40
54,50
43,36
56,53
38,51
51,1
40,52
48,56
42,22
62,74
42,80
51,0
50,33
49,69
55,17
42,94
40,9
50,32
45,25
51,59
52,66
35,18
47,40
43,17
52,58
43,8
53,52
47,65
45,7
42,60
51,0
43,54
43,1
50,42
52,73
38,97
45,23
39,8
40,24
45,63
46,2
41,29
48,15
45,77
45,89
50,21
45,55
41,75
39,10
47,32
29,63
52,85
49,33
37,64
52,62
32,43
45,84
41,39
53,22
55,23
48,68
48,16
42,57
46,37
41,82
44,29
40,94
59,6
44,48
53,39
39,48
46,8
49,88
51,8
37,45
51,46
33,36
47,16
107,4
45,31
41,41
53,20
43,34
44,9
48,45
45,59
45,94
39,3
46,78
49,10
50,77
47,2
51,43
37,18
42,31
36,58
48,26
38,70
41,93
59,19
34,73
37,67
41,83
47,30
42,88
44,0
41,43
44,42
52,37
49,31
45,56
54,59
40,72
47,26
46,115
45,43
49,0
39,47
42,29
42,100
54,13
49,10
43,55
30,56
38,38
51,75
46,93
49,0
39,10
43,65
55,55
51,34
41,14
45,34
48,54
45,86
38,41
39,37
54,30
47,55
62,3
47,32
41,75
47,2
49,46
40,34
56,42
47,80
53,41
50,30
45,60
39,16
43,92
42,43
44,34
35,38
39,16
41,97
36,19
42,52
47,31
42,91
41,22
38,97
49,9
52,11
53,69
34,29
52,57
41,28
45,13
46,89
43,32
45,11
42,74
49,13
36,54
50,20
31,7
55,38
48,55
49,69
44,101
31,30
43,100
42,25
43,83
48,30
46,51
49,13
43,84
43,0
51,40
48,34
45,84
44,62
44,69
47,41
59,30
47,42
46,14
56,55
47,29
49,94
47,23
43,45
40,26
53,30
51,76
45,23
43,16
49,35
46,103
46,34
53,73
61,69
49,10
46,42
46,1
48,44
45,59
44,7
50,44
46,37
53,81
44,44
37,0
47,43
49,34
50,46
50,62
53,25
38,48
39,66
52,37
50,35
54,97
39,21
42,32
42,25
43,65
48,6
45,13
46,47
51,31
35,26
41,89
50,66
42,91
52,52
45,52
33,100
47,59
47,85
38,5
47,95
55,2
41,70
47,46
58,95
38,28
47,84
37,42
43,39
50,85
55,36
38,50
52,28
53,28
40,91
42,24
47,99
43,9
41,52
48,0
46,88
51,5
55,38
31,59
41,39
46,39
47,87
54,74
47,15
39,41
47,24
48,90
38,28
34,99
52,20
46,4
50,0
42,54
41,18
41,51
46,9
57,100
40,8
53,78
32,34
43,6
46,45
49,96
46,26
51,31
56,27
36,82
39,21
48,0
40,48
35,27
48,41
48,9
51,28
45,24
45,49
52,2
55,80
53,21
38,57
47,92
46,4
42,36
42,63
54,18
40,35
46,92
32,11
1,69
50,49
45,26
51,38
49,83
40,3
41,42
44,17
47,46
46,18
40,22
54,85
49,40
44,77
38,30
48,49
55,43
47,42
50,88
46,18
44,60
37,66
38,94
41,3
47,56
47,47
53,20
38,91
44,35
50,68
42,92
35,16
50,50
42,24
35,71
34,2
55,45
24,30
59,50
53,82
40,2
56,67
45,36
48,70
43,13
49,58
55,20
52,26
43,30
53,76
59,57
50,5
51,69
46,16
49,43
51,66
42,27
50,21
49,48
50,41
48,79
48,36
46,18
37,25
58,90
40,13
47,96
41,26
40,36
56,15
40,35
41,105
41,17
35,27
48,30
57,111
35,2
50,66
36,67
53,24
44,101
44,21
54,63
43,15
45,50
44,0
51,55
40,14
49,74
56,28
43,15
37,50
47,23
45,55
51,65
40,47
50,30
41,75
45,25
55,50
30,33
45,37
55,43
51,58
38,31
46,59
36,43
53,39
34,115
48,2
37,41
46,93
43,24
40,17
55,99
40,0
41,103
45,12
52,74
39,32
47,81
57,38
42,53
54,5
47,14
53,33
48,15
47,50
47,77
44,54
47,4
51,108
36,16
53,54
60,40
54,82
58,1
55,47
47,23
48,57
43,6
50,95
48,31
49,42
57,25
44,99
47,39
42,68
49,95
51,4
43,47
42,27
39,52
52,28
40,18
49,27
43,70
46,7
48,33
50,50
44,21
45,70
50,9
40,64
42,11
27,40
35,72
39,37
29,72
54,11
53,57
53,57
46,42
45,1
52,43
48,31
38,49
43,15
38,58
45,26
56,0
37,35
46,67
37,68
43,64
63,100
48,3
54,43
47,35
50,93
45,16
47,38
50,46
55,6
46,34
43,32
39,51
51,21
42,45
46,66
68,81
54,50
50,36
41,85
47,71
34,41
49,26
47,22
50,31
53,25
37,23
53,31
46,101
40,5
42,68
41,62
42,25
44,84
43,29
29,12
46,50
54,36
47,42
37,67
39,74
57,42
50,20
52,96
48,1
34,53
42,16
46,25
38,26
46,37
58,59
48,5
46,42
39,20
44,69
42,25
37,70
44,18
36,51
50,30
39,91
52,32
40,48
40,27
41,29
52,78
44,28
39,78
50,24
44,83
50,90
47,4
46,96
48,11
50,66
48,62
48,50
42,15
51,16
54,18
42,75
55,19
49,1
47,65
43,66
38,57
49,6
38,39
42,31
51,11
42,13
49,39
51,0
38,58
44,35
51,50
44,3
47,28
36,64
55,28
49,54
56,2
36,33
43,25
56,58
37,35
54,75
42,2
31,51
52,28
53,97
46,85
37,3
42,45
45,17
42,40
52,6
46,70
48,28
42,27
54,82
36,47
44,65
46,41
49,18
51,93
50,6
47,36
46,39
44,34
52,49
59,13
51,43
57,4
59,76
41,23
43,33
39,51
54,87
49,29
54,27
47,30
47,73
54,1
45,79
41,10
48,92
45,27
38,84
50,19
38,25
55,66
50,10
47,8
52,46
43,20
35,9
56,74
53,38
52,80
47,22
42,75
51,38
37,51
40,94
51,4
59,7
46,47
55,59
44,39
54,27
46,69
26,23
48,0
52,46
36,16
41,21
43,84
42,24
47,37
39,65
39,18
32,29
46,28
52,27
52,11
49,44
45,83
46,39
51,34
43,31
43,23
43,26
52,12
46,26
36,0
47,3
48,31
43,63
38,25
35,62
37,66
53,34
45,40
54,32
44,43
58,47
48,34
47,47
59,28
54,94
58,12
51,72
49,43
49,43
33,41
15,1
51,43
45,90
41,44
58,0
42,24
41,71
40,77
40,47
39,42
52,40
45,25
55,28
45,15
50,38
43,14
47,73
51,0
41,58
44,115
54,6
46,96
44,48
54,77
41,31
53,60
35,35
40,28
52,27
38,56
39,20
48,78
42,38
44,56
47,37
53,48
32,32
50,48
47,48
44,34
52,64
53,77
45,23
48,50
45,28
48,30
41,89
43,37
49,46
44,7
55,34
38,64
46,56
58,23
47,85
39,68
32,46
39,30
42,94
36,23
38,31
47,8
49,57
50,30
44,32
41,39
40,98
47,32
44,21
43,46
38,88
41,17
42,0
41,30
49,87
45,26
41,31
46,45
46,20
43,15
48,100
39,17
36,67
41,21
43,20
41,56
52,22
53,38
58,65
43,42
40,36
48,55
44,17
45,108
49,2
52,66
56,18
28,28
51,51
42,42
57,0
54,33
51,57
43,35
49,23
43,33
50,20
46,45
57,90
51,31
47,54
49,15
35,36
36,96
47,71
46,47
54,25
50,10
33,20
45,38
57,31
45,83
59,34
43,82
43,11
46,36
44,90
41,46
50,95
44,20
41,90
47,43
46,1
49,45
51,91
43,39
61,64
35,42
46,44
46,28
47,16
46,65
45,30
46,91
52,5
41,78
36,35
36,78
39,10
38,39
52,25
37,29
36,79
51,25
42,5
47,42
47,75
50,60
52,14
49,36
50,15
39,70
44,7
49,34
48,41
48,31
51,15
33,90
50,1
43,37
43,54
46,13
54,6
48,42
52,100
45,10
54,47
43,36
52,67
49,40
61,24
38,40
51,23
49,47
44,4
46,56
49,34
48,60
40,7
43,72
51,16
54,70
37,28
46,79
34,71
43,11
48,35
37,8
44,23
50,52
61,51
46,64
46,29
37,21
37,21
43,74
42,43
46,65
47,24
50,55
39,80
44,18
52,70
56,6
41,63
50,21
45,32
34,59
59,76
39,55
44,8
50,38
47,5
41,40
50,31
45,12
45,53
41,0
42,34
48,80
39,90
43,16
47,32
46,39
48,64
43,4
45,46
38,15
42,38
53,50
46,97
52,12
54,43
49,89
41,15
43,36
42,116
42,28
46,33
43,95
47,37
46,48
44,18
47,36
43,49
39,70
44,21
50,47
51,48
47,44
49,61
39,23
45,86
45,7
50,55
48,70
46,9
40,66
52,63
42,30
57,41
49,10
48,19
43,85
51,0
50,91
49,18
43,30
45,34
44,73
53,43
43,68
56,16
43,94
44,22
49,23
36,49
53,60
41,17
44,41
50,24
45,30
47,61
45,12
48,87
47,54
51,6
44,34
43,33
46,43
44,5
52,82
55,9
48,66
42,41
55,110
42,44
33,15
42,28
48,82
45,42
41,86
37,37
50,84
50,85
39,16
45,29
47,28
53,58
45,17
50,38
49,72
46,46
50,102
48,26
52,43
38,69
41,25
49,24
60,31
45,34
54,116
53,82
43,14
38,47
56,8
50,94
55,50
41,54
36,61
45,19
42,50
55,50
50,42
44,16
46,16
45,93
48,35
50,62
43,21
38,19
42,12
44,4
60,13
48,90
53,6
55,45
40,78
48,10
45,53
47,33
39,48
55,19
47,21
50,7
46,39
46,79
48,70
57,30
52,68
53,10
42,61
45,34
37,51
36,34
41,27
45,79
47,8
38,61
33,81
47,30
42,67
48,44
44,52
45,17
52,40
34,67
40,37
47,96
52,6
33,32
45,20
36,17
49,73
45,9
47,59
49,38
55,68
49,64
32,34
